post_text,label
今天在我姑家的附近有一个十多岁的小孩跳楼了，好像是因为抑郁症，她们说现在的小孩，没有事做，老是刷手机看些奇奇怪怪的视频，才会想自杀，说精神病院里的都是被家长宠坏的……我无话可说，反驳也没有用……,0
焦虑症有没有吃阿立哌挫口崩片胃特别难受的？吃一次半片第二天就开始胃酸呕吐感很难受...真的是要死了的感觉...,0
在读《房思琪的初恋乐园》，现实朋友给我看的，说是里面的描写很恶心，情节各方面都很恶心，她不会再看第二遍。我看到第二部分“失乐园”的时候，大概理解她作为一个正常的女孩不会看第二遍，因为她觉得这些描写是很出奇很不能理解的，但是我沉浸在其中的压抑却很舒服……也很心疼主角吧，还没看完，看完了再来说,0
不想工作，但不工作就没钱，没钱对yyz来说几乎是天崩地裂的事，刚一直在犹豫要不要用刀割割腕，还是没这么做，不过我觉得也快了，脑子混混沌沌的，可能和睡眠不足有关，吃东西感觉也很恶心，感觉又累又冷，这种感觉挺奇怪的。,3
再见啦...,0
"很开心自己竭尽全力地活了下来
请你无比一而再再而三地拯救自己于水火之中抑郁症",0
自己的情绪不稳定不舒服 还要去照顾开导别人 真的讽刺,0
"#抑郁症#
“即使抑郁缠身，也不要放弃希望。
因为万物皆有裂痕，那是阳光照进来的地方。”",0
怎么度过无聊的日子,0
喜欢把不开心发在超话里面，也许等待审核的时候就已经平静下来了，然后也不会在自己的空间留下不开心的记忆。在这个远离家乡的地方，忙忙碌碌的环境里，缺少能够倾吐心事的时间和对象，活得多累啊。感谢网络感谢微博感谢超话，树洞一般的存在让人有个说话的地方，不至于自己把自己再次拖到那个黑暗漩涡里面，毕竟即使现在回忆起来之前那段日子依然心有余悸。最起码现在顶多是思考要怎么让情绪平静下来而不是去找个地方让生命彻底平静下来,0
今天的夕阳🌇,0
妈妈让我去死,0
